tract_num,location,date,time,race,gender,age,subject_gender,subject_race,subject_age,fips,qualifying name,total population:.9,total population: white alone,total population: black or african american alone,total population: american indian and alaska native alone,total population: asian alone,total population: native hawaiian and other pacific islander alone,total population: some other race alone,total population: two or more races,% total population: white alone,% total population: black or african american alone,% total population: american indian and alaska native alone,% total population: asian alone,% total population: native hawaiian and other pacific islander alone,% total population: some other race alone,% total population: two or more races,total population.2,total population: not hispanic or latino,total population: not hispanic or latino: white alone,total population: not hispanic or latino: black or african american alone,total population: not hispanic or latino: american indian and alaska native alone,total population: not hispanic or latino: asian alone,total population: not hispanic or latino: native hawaiian and other pacific islander alone,total population: not hispanic or latino: some other race alone,total population: not hispanic or latino: two or more races,total population: hispanic or latino,total population: hispanic or latino: white alone,total population: hispanic or latino: black or african american alone,total population: hispanic or latino: american indian and alaska native alone,total population: hispanic or latino: asian alone,total population: hispanic or latino: native hawaiian and other pacific islander alone,total population: hispanic or latino: some other race alone,total population: hispanic or latino: two or more races,% total population: not hispanic or latino,% total population: not hispanic or latino: white alone,% total population: not hispanic or latino: black or african american alone,% total population: not hispanic or latino: american indian and alaska native alone,% total population: not hispanic or latino: asian alone,% total population: not hispanic or latino: native hawaiian and other pacific islander alone,% total population: not hispanic or latino: some other race alone,% total population: not hispanic or latino: two or more races,% total population: hispanic or latino,% total population: hispanic or latino: white alone,% total population: hispanic or latino: black or african american alone,% total population: hispanic or latino: american indian and alaska native alone,% total population: hispanic or latino: asian alone,% total population: hispanic or latino: native hawaiian and other pacific islander alone,% total population: hispanic or latino: some other race alone,% total population: hispanic or latino: two or more races
8403,ALLEY,2005-11-15,18:45:00,WHITE,M,43.0,FEMALE,WHITE,34.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,ALLEY,2012-06-15,00:02:00,WHITE,M,47.0,MALE,WHITE HISPANIC,22.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,SIDEWALK,2011-03-10,04:04:00,WHITE HISPANIC,M,40.0,MALE,WHITE HISPANIC,22.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,PARKING LOT/GARAGE(NON.RESID.),2016-01-07,22:29:00,WHITE HISPANIC,M,30.0,MALE,WHITE HISPANIC,20.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,GROCERY FOOD STORE,2015-05-01,10:12:00,WHITE,F,39.0,MALE,WHITE HISPANIC,30.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,STREET,2008-02-17,05:20:00,AMER IND/ALASKAN NATIVE,M,36.0,MALE,WHITE HISPANIC,20.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,SIDEWALK,2009-09-12,05:05:00,WHITE,F,36.0,MALE,WHITE HISPANIC,22.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8403,SIDEWALK,2008-02-17,05:20:00,WHITE,M,43.0,MALE,WHITE HISPANIC,20.0,17031840300,8403,4034,2162,90,68,740,0,830,144,53.59,2.23,1.69,18.34,0.0,20.58,3.57,4034,1258,427,78,28,725,0,0,0,2776,1735,12,40,15,0,830,144,31.18,10.59,1.93,0.69,17.97,0.0,0.0,0.0,68.82,43.01,0.3,0.99,0.37,0.0,20.58,3.57
8411,RESIDENTIAL YARD (FRONT/BACK),2013-06-16,22:24:00,WHITE HISPANIC,M,37.0,MALE,BLACK,21.0,17031841100,8411,7011,450,295,0,5953,33,0,280,6.42,4.21,0.0,84.91,0.47,0.0,3.99,7011,6968,407,295,0,5953,33,0,280,43,43,0,0,0,0,0,0,99.39,5.81,4.21,0.0,84.91,0.47,0.0,3.99,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0
8411,STREET,2004-08-24,23:05:00,WHITE HISPANIC,M,50.0,MALE,BLACK,51.0,17031841100,8411,7011,450,295,0,5953,33,0,280,6.42,4.21,0.0,84.91,0.47,0.0,3.99,7011,6968,407,295,0,5953,33,0,280,43,43,0,0,0,0,0,0,99.39,5.81,4.21,0.0,84.91,0.47,0.0,3.99,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0
